zone_id,cell_id,lat,lon,pop,area,liquefaccion,deslizamiento
libertador,c00000,10.480673733381243,-66.94931479276019,223.01348484848484,Urbanización Las Fuentes,0.0036,0.0
libertador,c00001,10.480673733381243,-66.94794437828057,223.01348484848484,Urbanización Las Fuentes,0.0036,0.0
libertador,c00002,10.480673733381243,-66.94657396380094,223.01348484848484,Urbanización Las Fuentes,0.0036,0.0
libertador,c00003,10.480673733381243,-66.94520354932132,223.01348484848484,Urbanización Las Fuentes,0.0013,0.0
libertador,c00004,10.480673733381243,-66.9438331348417,223.01348484848484,Urbanización Las Fuentes,0.0013,0.0
libertador,c00005,10.480673733381243,-66.94246272036207,223.01348484848484,Urbanización Las Fuentes,0.0013,0.0
libertador,c00006,10.480673733381243,-66.94109230588245,223.01348484848484,Urbanización Las Fuentes,0.0,0.0
libertador,c00007,10.480673733381243,-66.93972189140283,223.01348484848484,Urbanización Las Fuentes,0.0,0.0017
libertador,c00008,10.480673733381243,-66.9383514769232,223.01348484848484,Urbanización Las Fuentes,0.0,0.0028
libertador,c00009,10.480673733381243,-66.93698106244358,223.01348484848484,Urbanización Las Fuentes,0.0,0.0028
libertador,c00010,10.480673733381243,-66.93561064796395,223.01348484848484,Urbanización Las Fuentes,0.0,0.0059
libertador,c00011,10.480673733381243,-66.93424023348433,214.8910606060606,Las Quintas,0.0,0.0082
libertador,c00012,10.480673733381243,-66.93286981900471,214.8910606060606,Las Quintas,0.0,0.0082
libertador,c00013,10.480673733381243,-66.93149940452508,214.8910606060606,Las Quintas,0.0,0.004
libertador,c00014,10.480673733381243,-66.93012899004546,214.8910606060606,Las Quintas,0.0,0.0043
libertador,c00015,10.480673733381243,-66.92875857556584,214.8910606060606,Las Quintas,0.0,0.0043
libertador,c00016,10.480673733381243,-66.92738816108621,214.8910606060606,Las Quintas,0.0,0.0068
libertador,c00017,10.480673733381243,-66.92601774660659,214.8910606060606,Las Quintas,0.0,0.0045
libertador,c00018,10.480673733381243,-66.92464733212697,214.8910606060606,Las Quintas,0.0,0.0045
libertador,c00019,10.480673733381243,-66.92327691764734,214.8910606060606,Las Quintas,0.0,0.0013
libertador,c00020,10.480673733381243,-66.92190650316772,214.8910606060606,Las Quintas,0.0,0.0013
libertador,c00021,10.480673733381243,-66.9205360886881,214.8910606060606,Las Quintas,0.0006,0.0012
libertador,c00022,10.480673733381243,-66.91916567420847,235.93742424242424,Barrio Buenos Aires,0.0006,0.0
libertador,c00023,10.480673733381243,-66.91779525972885,235.93742424242424,Barrio Buenos Aires,0.0006,0.0
libertador,c00024,10.480673733381243,-66.91642484524922,235.93742424242424,Barrio Buenos Aires,0.001,0.0
libertador,c00025,10.480673733381243,-66.9150544307696,235.93742424242424,Barrio Buenos Aires,0.001,0.0
libertador,c00026,10.480673733381243,-66.91368401628998,235.93742424242424,Barrio Buenos Aires,0.001,0.0
libertador,c00027,10.480673733381243,-66.91231360181035,235.93742424242424,Barrio Buenos Aires,0.002,0.0
libertador,c00028,10.480673733381243,-66.91094318733073,235.93742424242424,Barrio Buenos Aires,0.002,0.0
libertador,c00029,10.480673733381243,-66.9095727728511,235.93742424242424,Barrio Buenos Aires,0.002,0.0
libertador,c00030,10.480673733381243,-66.90820235837148,235.93742424242424,Barrio Buenos Aires,0.0036,0.0
libertador,c00031,10.480673733381243,-66.90683194389186,235.93742424242424,Barrio Buenos Aires,0.0036,0.0
libertador,c00032,10.480673733381243,-66.90546152941224,235.93742424242424,Barrio Buenos Aires,0.0036,0.0
libertador,c00033,10.480673733381243,-66.90409111493261,235.4985606060606,Colinas de Las Acacias,0.0087,0.0
libertador,c00034,10.480673733381243,-66.90272070045299,235.4985606060606,Colinas de Las Acacias,0.0087,0.0
libertador,c00035,10.480673733381243,-66.90135028597336,235.4985606060606,Colinas de Las Acacias,0.0087,0.0
libertador,c00036,10.480673733381243,-66.89997987149374,235.4985606060606,Colinas de Las Acacias,0.0261,0.0
libertador,c00037,10.480673733381243,-66.89860945701412,235.4985606060606,Colinas de Las Acacias,0.0261,0.0
libertador,c00038,10.480673733381243,-66.8972390425345,235.4985606060606,Colinas de Las Acacias,0.0261,0.0
libertador,c00039,10.480673733381243,-66.89586862805487,235.4985606060606,Colinas de Las Acacias,0.0261,0.0
libertador,c00040,10.480673733381243,-66.89449821357525,235.4985606060606,Colinas de Las Acacias,0.0089,0.0013
libertador,c00041,10.480673733381243,-66.89312779909562,235.4985606060606,Colinas de Las Acacias,0.0089,0.0013
libertador,c00042,10.480673733381243,-66.891757384616,235.4985606060606,Colinas de Las Acacias,0.0089,0.0
libertador,c00043,10.480673733381243,-66.89038697013638,235.4985606060606,Colinas de Las Acacias,0.0012,0.0
libertador,c00044,10.480673733381243,-66.88901655565675,236.7012121212121,Ciudad Universitaria,0.0012,0.0
libertador,c00045,10.480673733381243,-66.88764614117713,236.7012121212121,Ciudad Universitaria,0.0012,0.0016
libertador,c00046,10.480673733381243,-66.8862757266975,236.7012121212121,Ciudad Universitaria,0.0,0.0022
libertador,c00047,10.480673733381243,-66.88490531221788,236.7012121212121,Ciudad Universitaria,0.0,0.0022
libertador,c00048,10.480673733381243,-66.88353489773826,236.7012121212121,Ciudad Universitaria,0.0,0.0016
libertador,c00049,10.480673733381243,-66.88216448325863,236.7012121212121,Ciudad Universitaria,0.0,0.0015
libertador,c00050,10.480673733381243,-66.88079406877901,236.7012121212121,Ciudad Universitaria,0.0,0.0015
libertador,c00051,10.480673733381243,-66.87942365429939,236.7012121212121,Ciudad Universitaria,0.0,0.0028
libertador,c00052,10.480673733381243,-66.87805323981976,236.7012121212121,Ciudad Universitaria,0.0,0.0043
libertador,c00053,10.480673733381243,-66.87668282534014,236.7012121212121,Ciudad Universitaria,0.0,0.0043
libertador,c00054,10.480673733381243,-66.87531241086052,236.7012121212121,Ciudad Universitaria,0.0,0.0069
libertador,c00055,10.480673733381243,-66.87394199638089,833.6983333333333,El Rosal,0.0,0.0048
libertador,c00056,10.480673733381243,-66.87257158190127,833.6983333333333,El Rosal,0.0,0.0048
libertador,c00057,10.480673733381243,-66.87120116742165,833.6983333333333,El Rosal,0.0,0.0036
libertador,c00058,10.48202120014373,-66.94931479276019,223.01348484848484,Urbanización Las Fuentes,0.0036,0.0
libertador,c00059,10.48202120014373,-66.94794437828057,223.01348484848484,Urbanización Las Fuentes,0.0036,0.0
libertador,c00060,10.48202120014373,-66.94657396380094,223.01348484848484,Urbanización Las Fuentes,0.0036,0.0
libertador,c00061,10.48202120014373,-66.94520354932132,223.01348484848484,Urbanización Las Fuentes,0.0013,0.0
libertador,c00062,10.48202120014373,-66.9438331348417,223.01348484848484,Urbanización Las Fuentes,0.0013,0.0
libertador,c00063,10.48202120014373,-66.94246272036207,223.01348484848484,Urbanización Las Fuentes,0.0013,0.0
libertador,c00064,10.48202120014373,-66.94109230588245,223.01348484848484,Urbanización Las Fuentes,0.0,0.0
libertador,c00065,10.48202120014373,-66.93972189140283,223.01348484848484,Urbanización Las Fuentes,0.0,0.0017
libertador,c00066,10.48202120014373,-66.9383514769232,223.01348484848484,Urbanización Las Fuentes,0.0,0.0028
libertador,c00067,10.48202120014373,-66.93698106244358,223.01348484848484,Urbanización Las Fuentes,0.0,0.0028
libertador,c00068,10.48202120014373,-66.93561064796395,223.01348484848484,Urbanización Las Fuentes,0.0,0.0059
libertador,c00069,10.48202120014373,-66.93424023348433,214.8910606060606,Las Quintas,0.0,0.0082
libertador,c00070,10.48202120014373,-66.93286981900471,214.8910606060606,Las Quintas,0.0,0.0082
libertador,c00071,10.48202120014373,-66.93149940452508,214.8910606060606,Las Quintas,0.0,0.004
libertador,c00072,10.48202120014373,-66.93012899004546,214.8910606060606,Las Quintas,0.0,0.0043
libertador,c00073,10.48202120014373,-66.92875857556584,214.8910606060606,Las Quintas,0.0,0.0043
libertador,c00074,10.48202120014373,-66.92738816108621,214.8910606060606,Las Quintas,0.0,0.0068
libertador,c00075,10.48202120014373,-66.92601774660659,214.8910606060606,Las Quintas,0.0,0.0045
libertador,c00076,10.48202120014373,-66.92464733212697,214.8910606060606,Las Quintas,0.0,0.0045
libertador,c00077,10.48202120014373,-66.92327691764734,214.8910606060606,Las Quintas,0.0,0.0013
libertador,c00078,10.48202120014373,-66.92190650316772,214.8910606060606,Las Quintas,0.0,0.0013
libertador,c00079,10.48202120014373,-66.9205360886881,214.8910606060606,Las Quintas,0.0006,0.0012
libertador,c00080,10.48202120014373,-66.91916567420847,235.93742424242424,Barrio Buenos Aires,0.0006,0.0
libertador,c00081,10.48202120014373,-66.91779525972885,235.93742424242424,Barrio Buenos Aires,0.0006,0.0
libertador,c00082,10.48202120014373,-66.91642484524922,235.93742424242424,Barrio Buenos Aires,0.001,0.0
libertador,c00083,10.48202120014373,-66.9150544307696,235.93742424242424,Barrio Buenos Aires,0.001,0.0
libertador,c00084,10.48202120014373,-66.91368401628998,235.93742424242424,Barrio Buenos Aires,0.001,0.0
libertador,c00085,10.48202120014373,-66.91231360181035,235.93742424242424,Barrio Buenos Aires,0.002,0.0
libertador,c00086,10.48202120014373,-66.91094318733073,235.93742424242424,Barrio Buenos Aires,0.002,0.0
libertador,c00087,10.48202120014373,-66.9095727728511,235.93742424242424,Barrio Buenos Aires,0.002,0.0
libertador,c00088,10.48202120014373,-66.90820235837148,235.93742424242424,Barrio Buenos Aires,0.0036,0.0
libertador,c00089,10.48202120014373,-66.90683194389186,235.93742424242424,Barrio Buenos Aires,0.0036,0.0
libertador,c00090,10.48202120014373,-66.90546152941224,235.93742424242424,Barrio Buenos Aires,0.0036,0.0
libertador,c00091,10.48202120014373,-66.90409111493261,235.4985606060606,Colinas de Las Acacias,0.0087,0.0
libertador,c00092,10.48202120014373,-66.90272070045299,235.4985606060606,Colinas de Las Acacias,0.0087,0.0
libertador,c00093,10.48202120014373,-66.90135028597336,235.4985606060606,Colinas de Las Acacias,0.0087,0.0
libertador,c00094,10.48202120014373,-66.89997987149374,235.4985606060606,Colinas de Las Acacias,0.0261,0.0
libertador,c00095,10.48202120014373,-66.89860945701412,235.4985606060606,Colinas de Las Acacias,0.0261,0.0
libertador,c00096,10.48202120014373,-66.8972390425345,235.4985606060606,Colinas de Las Acacias,0.0261,0.0
libertador,c00097,10.48202120014373,-66.89586862805487,235.4985606060606,Colinas de Las Acacias,0.0261,0.0
libertador,c00098,10.48202120014373,-66.89449821357525,235.4985606060606,Colinas de Las Acacias,0.0089,0.0013
